Project name,Funnel,Project Category,Project Type,Block,Fiscal Terms,CVX Share,Project POS,Delin Count,Well depth,Initial Yield,Ya,Yb,WI,BTU,N2,CO2,Risked Well Count,Meas Gas BTU Reserve (BCF),Mean Condy Reserves (MBBL),Mean Oil Reserves (MBBL),Mean Sol.Gas Reserves (BCF),OPEX,Extra OPEX, Risked WHP Count ,Extra platform costs,Risked Pipeline Count,Extra pipeline costs,Delin Costs,Well Costs,Extra well costs,Risked Rigmove Count,Initial TTP costs,WHP aban. Costs,Well aban. Costs,Slot recovery costs,Drilling days,Rigmove days,Oil IP,Oil Hold Reserves,Oil Decline Rate,Oil AR,Gas BTU IP,Gas Hold Reserves,Gas Decline Rate,Gas BTU AR,Mode 1 flag,Mode 1 Date,Drilling Start Date,Online Date,Project Duration,Depletion Date,Year_DC,Year_WHP,Year_Delin,Total Wells,Total Delin,CH4,Trunkline,Operating Area,Plateau
 AQC-C , AQCPP , G , WHP , B52 , PSC , 0.429 , 1.00 , -   ," 9,877 ", 2.89 , 2.85 , 1.00 , 724.70 , 737.96 , 3.28 , 29.08 , 17 , 106.31 , 0.28 , -   , -   , 4.50 , -   , 1.00 , -   , 1.00 , -   , -   , 17.00 , -   , 1.00 , 2.72 , 1.00 , 17.00 , -   , 178.13 , 7.00 , -   , -   , -   , -   , 62.73 , 38.10 , 0.00083 , 6.27 , Y ,1/19/2015,8/7/2014,2/1/2015, 178.00 ,3/1/2025,2014,2014,2014, 17.00 , -   , 95.35 , OT , AQ , 0.36 
 KLD-17 , AQCPP , G , WHP , B , PSC , 0.429 , 1.00 , -   ," 8,026 ", 1.67 , 5.61 , 1.00 ," 1,109.91 ", 980.71 , 1.02 , 6.23 , 20 , 72.43 , 0.08 , -   , -   , 4.50 , -   , 1.00 , -   , 1.00 , -   , -   , 20.00 , -   , 1.00 , 3.20 , 1.00 , 20.00 , -   , 118.40 , 7.00 , -   , -   , -   , -   , 117.68 , 21.73 , 0.00213 , 9.81 , Y ,8/20/2015,5/6/2015,9/1/2015, 118.00 ,8/1/2019,2015,2015,2015, 20.00 , -   , 95.18 , N , KL , 0.30 
 CVC-A , AQCPP , G , WHP , B52 , PSC , 0.429 , 1.00 , -   ," 9,433 ", 9.26 , 4.85 , 1.00 , 925.04 , 911.20 , 3.16 , 17.16 , 20 , 72.55 , 0.50 , -   , -   , 4.50 , -   , 1.00 , -   , 1.00 , -   , -   , 20.00 , -   , 1.00 , 3.20 , 1.00 , 20.00 , -   , 128.00 , 7.00 , -   , -   , -   , -   , 91.12 , 24.18 , 0.00170 , 9.11 , Y ,5/27/2015,1/24/2015,6/1/2015, 128.00 ,5/1/2020,2015,2015,2015, 20.00 , -   , 90.62 , W , CV , 0.33 
 KLD-22 , AQCPP , G , WHP , B , PSC , 0.429 , 1.00 , -   ," 8,686 ", 1.22 , 2.83 , 1.00 , 899.74 , 845.54 , 2.11 , 17.10 , 20 , 124.28 , 0.12 , -   , -   , 4.50 , -   , 1.00 , -   , 1.00 , -   , -   , 20.00 , -   , 1.00 , 3.20 , 1.00 , 20.00 , -   , 120.00 , 7.00 , -   , -   , -   , -   , 84.55 , 43.73 , 0.00094 , 8.46 , Y ,4/24/2015,1/1/2015,5/1/2015, 120.00 ,12/1/2024,2015,2015,2015, 20.00 , -   , 96.57 , N , KL , 0.35 
 AQD-23 , AQCPP , G , WHP , B52 , PSC , 0.429 , 1.00 , -   ," 10,115 ", 24.42 , 4.64 , 1.00 ," 1,105.58 "," 1,093.49 ", 4.63 , 8.65 , 19 , 76.68 , 1.22 , -   , -   , 4.50 , -   , 1.00 , -   , 1.00 , -   , -   , 19.00 , -   , 1.00 , 3.04 , 1.00 , 19.00 , -   , 150.10 , 7.00 , -   , -   , -   , -   , 124.66 , 24.47 , 0.00219 , 10.39 , Y ,10/24/2015,6/4/2015,11/1/2015, 150.00 ,8/1/2020,2015,2015,2015, 19.00 , -   , 82.93 , S , AQ , 0.32 
 AQD-29 , AQCPP , G , WHP , B52 , PSC , 0.429 , 1.00 , -   ," 10,160 ", 24.61 , 6.25 , 1.00 ," 1,110.48 "," 1,097.75 ", 4.65 , 8.37 , 14 , 57.06 , 0.91 , -   , -   , 4.50 , -   , 1.00 , -   , 1.00 , -   , -   , 14.00 , -   , 1.00 , 2.24 , 1.00 , 14.00 , -   , 119.76 , 7.00 , -   , -   , -   , -   , 81.07 , 18.54 , 0.00191 , 7.68 ,,2/21/2016,9/3/2016,1/1/2017, 120.00 ,8/1/2021,2016,2016,2016, 14.00 , -   , 82.81 , S , AQ , 0.33 
 VDD-18 , AQCPP , G , WHP , B52 , PSC , 0.429 , 0.94 , 1.00 ," 9,067 ", 13.44 , 6.09 , 1.00 , 991.11 , 969.22 , 3.96 , 13.34 , 19 , 58.82 , 0.56 , -   , -   , 4.50 , -   , 0.94 , -   , 0.94 , -   , 3.12 , 18.80 , -   , 1.00 , 3.01 , 1.00 , 18.80 , -   , 114.17 , 7.00 , -   , -   , -   , -   , 90.11 , 18.72 , 0.00202 , 9.11 ,,6/14/2016,5/10/2017,9/1/2017, 114.00 ,7/1/2021,2017,2017,2017, 20.00 , 1.00 , 88.57 , W , VD , 0.32 
 AQD-34 , AQCPP , G , WHP , B52 , PSC , 0.429 , 0.81 , 1.00 ," 10,310 ", 24.56 , 8.93 , 1.00 ," 1,109.33 "," 1,096.75 ", 4.65 , 8.43 , 9 , 39.92 , 0.64 , -   , -   , 4.50 , -   , 0.81 , -   , 0.81 , -   , 3.12 , 8.91 , -   , 1.00 , 1.43 , 1.00 , 8.91 , -   , 79.01 , 7.00 , -   , -   , -   , -   , 59.02 , 14.11 , 0.00210 , 4.89 ,,9/1/2016,10/14/2017,1/1/2018, 79.00 ,10/1/2021,2017,2017,2017, 11.00 , 1.00 , 82.84 , S , AQ , 0.35 
 KLD-24 , AQCPP , G , WHP , B , PSC , 0.429 , 0.75 , 1.00 ," 8,817 ", 1.30 , 4.27 , 1.00 , 924.05 , 861.05 , 2.09 , 15.72 , 15 , 83.87 , 0.08 , -   , -   , 4.50 , -   , 0.75 , -   , 0.75 , -   , 3.12 , 15.00 , -   , 1.00 , 2.40 , 1.00 , 15.00 , -   , 86.17 , 7.00 , -   , -   , -   , -   , 67.59 , 27.96 , 0.00109 , 6.46 ,,4/21/2018,10/7/2017,1/1/2018, 86.00 ,4/1/2025,2017,2017,2017, 20.00 , 1.00 , 96.44 , N , KL , 0.33 
 VDD-17 , AQCPP , G , WHP , B52 , PSC , 0.429 , 1.00 , -   ," 9,318 ", 13.19 , 6.41 , 1.00 , 985.42 , 965.29 , 3.91 , 13.66 , 17 , 55.81 , 0.53 , -   , -   , 4.50 , -   , 1.00 , -   , 1.00 , -   , -   , 17.00 , -   , 1.00 , 2.72 , 1.00 , 17.00 , -   , 109.51 , 7.00 , -   , -   , -   , -   , 82.05 , 17.92 , 0.00195 , 8.20 ,,8/9/2018,10/14/2017,2/1/2018, 110.00 ,6/1/2022,2017,2017,2017, 17.00 , -   , 88.68 , W , VD , 0.32 
 AQD-14 , AQCPP , G , WHP , B52 , PSC , 0.429 , 0.88 , 1.00 ," 9,732 ", 19.19 , 8.24 , 1.00 ," 1,004.26 "," 1,005.68 ", 4.48 , 13.21 , 11 , 42.30 , 0.57 , -   , -   , 4.50 , -   , 0.88 , -   , 0.88 , -   , 3.12 , 11.44 , -   , 1.00 , 1.83 , 1.00 , 11.44 , -   , 81.57 , 7.00 , -   , -   , -   , -   , 52.92 , 12.69 , 0.00159 , 5.75 ,,10/30/2018,5/11/2018,8/1/2018, 82.00 ,5/1/2023,2018,2018,2018, 13.00 , 1.00 , 84.69 , S , AQ , 0.30 
 CVD-16 , AQCPP , G , WHP , B52 , PSC , 0.429 , 1.00 , -   ," 9,781 ", 9.61 , 4.94 , 1.00 , 969.06 , 955.84 , 3.93 , 14.51 , 20 , 74.36 , 0.51 , -   , -   , 4.50 , -   , 1.00 , -   , 1.00 , -   , -   , 20.00 , -   , 1.00 , 3.20 , 1.00 , 20.00 , -   , 144.40 , 7.00 , -   , -   , -   , -   , 105.14 , 24.79 , 0.00193 , 9.56 ,,3/23/2019,6/10/2018,11/1/2018, 144.00 ,5/1/2023,2018,2018,2018, 20.00 , -   , 89.60 , W , CV , 0.33 
 KLU-21 , AQCPP , G , WHP , B , PSC , 0.429 , 0.60 , 1.00 ," 8,466 ", 1.02 , 3.02 , 1.00 , 837.22 , 805.63 , 2.14 , 20.65 , 11 , 111.26 , 0.09 , -   , -   , 4.50 , -   , 0.60 , -   , 0.60 , -   , 3.12 , 10.80 , -   , 1.00 , 1.73 , 1.00 , 10.80 , -   , 57.76 , 7.00 , -   , -   , -   , -   , 50.20 , 40.23 , 0.00065 , 4.35 ,,11/21/2019,3/4/2019,5/1/2019, 58.00 ,3/1/2032,2019,2019,2019, 18.00 , 1.00 , 96.88 , N , KL , 0.36 
 KLD-17_RA , AQCPP , G , INFILL , B , PSC , 0.429 , 1.00 , -   ," 8,345 ", 1.67 , 16.03 , 1.00 ," 1,109.91 ", 980.71 , 1.02 , 6.23 , 7 , 25.35 , 0.03 , -   , -   , 4.50 , -   , -   , -   , -   , -   , -   , 7.00 , -   , 1.00 , 1.12 , -   , 7.00 , -   , 36.60 , 7.00 , -   , -   , -   , -   , 31.58 , 7.61 , 0.00159 , 3.43 ,,12/28/2019,6/25/2019,8/1/2019, 37.00 ,5/1/2024,2019,2019,2019, 7.00 , -   , 95.18 , N , KL , 0.30 
